table_schema,table_name,column_name,data_type,row_count,null_percent,modifiers,max_length,relation_type,referenced_table,referenced_column,mcv,mcv_frequencies,avg_column_width_bytes
bookings,boarding_passes,boarding_no,integer,2463832,1.25,UNIQUE,-1,NULL,NULL,NULL,"{26,23,7,14,2,30,57,3,12,4,24,1,15,31,28,29,36,37,53,10,50,51,70,6,44,47,54,11,21,42,49,8,32,48,22,43,56,67,16,64,63,45,46,55,61,72,52,62,18,20,25,39,74,40,66,121,58,78,9,35,41,101,34,33,68,71,77,98,76,88,5,19,69,27,81,137,17,83,13,75,82,59,80,111,119,85,147,38,86,102,125,131,89,113,117,129,140,79,109,132}","{0.0051666666,0.0051,0.0050666668,0.005,0.0049333335,0.0049,0.0049,0.004766667,0.004766667,0.0047333334,0.0047333334,0.0047,0.0047,0.0046666665,0.0046333335,0.0046333335,0.0046333335,0.0045666667,0.0045666667,0.0045333332,0.0045333332,0.0045333332,0.0045333332,0.0045,0.0045,0.0045,0.004466667,0.0044333334,0.0044333334,0.0044333334,0.0044333334,0.0044,0.0044,0.0044,0.0043666665,0.004333333,0.004333333,0.004333333,0.0043,0.0043,0.0042666667,0.0042333333,0.0042333333,0.0042,0.0042,0.0042,0.0041,0.0041,0.0040666666,0.0040666666,0.0040666666,0.0040666666,0.0040666666,0.004033333,0.004,0.004,0.0039666668,0.0039666668,0.0039333333,0.0039333333,0.0039333333,0.0039333333,0.0039,0.0038666667,0.0038666667,0.0038666667,0.0038666667,0.0038666667,0.0038333333,0.0038333333,0.0038,0.0038,0.0038,0.0037666666,0.0037333334,0.0037333334,0.0037,0.0037,0.0036666666,0.0036666666,0.0036666666,0.0036333334,0.0036333334,0.0036333334,0.0036333334,0.0036,0.0036,0.0035666667,0.0035666667,0.0035666667,0.0035666667,0.0035666667,0.0035333333,0.0035333333,0.0035333333,0.0035333333,0.0035333333,0.0035,0.0035,0.0035}",4
bookings,boarding_passes,boarding_time,timestamp with time zone,2463832,1.25,,-1,NULL,NULL,NULL,NULL,NULL,8
bookings,bookings,book_ref,character(6),1292893,0.00,PK,6,NULL,NULL,NULL,NULL,NULL,7
bookings,bookings,book_date,timestamp with time zone,1292893,0.00,,-1,NULL,NULL,NULL,NULL,NULL,8
bookings,bookings,total_amount,"numeric(10,2)",1292893,0.00,,-1,NULL,NULL,NULL,"{6500.00,4000.00,8000.00,5000.00,7500.00,12000.00,6000.00,10000.00,9000.00,9500.00,1750.00,11500.00,15000.00,5500.00,12500.00,13000.00,10500.00,11000.00,2500.00,14500.00,18000.00,3500.00,16000.00,3250.00,9750.00,5750.00,20000.00,7475.00,3750.00,24000.00,2000.00,5250.00,13500.00,11250.00,23000.00,19000.00,9200.00,25000.00,18750.00,14000.00,14250.00,16250.00,4500.00,15750.00,21000.00,6250.00,15500.00,16500.00,17250.00,22500.00,13975.00,7000.00,8250.00,17000.00,30000.00,8500.00,17500.00,7750.00,29000.00,4600.00,2750.00,22000.00,27000.00,2250.00,6900.00,7250.00,18500.00,10750.00,21500.00,26250.00,28500.00,6325.00,23750.00,8750.00,6750.00,19500.00,21750.00,8625.00,28000.00,13750.00,27500.00,10250.00,13225.00,13250.00,36000.00,25500.00,35000.00,20500.00,5200.00,18250.00,9250.00,12250.00,20250.00,12750.00,28750.00,4025.00,2275.00,29500.00,17200.00,32000.00}","{0.035466667,0.031866666,0.0317,0.026333334,0.025866667,0.022933334,0.020766666,0.020366667,0.015833333,0.0158,0.015466667,0.015333333,0.0143,0.013566666,0.013533333,0.013333334,0.012133333,0.011633334,0.010733333,0.0103,0.010233333,0.009966667,0.009633333,0.008933334,0.0086,0.0085,0.0085,0.0079666665,0.0076666665,0.0075,0.0073666666,0.0072333333,0.0069,0.0067666667,0.0065666665,0.0061666667,0.0059666666,0.005866667,0.0057,0.0056666667,0.005633333,0.0056,0.0054,0.0052,0.005133333,0.005,0.0049333335,0.0048,0.0046666665,0.0046333335,0.0045333332,0.004466667,0.004466667,0.0043666665,0.0042666667,0.0041333335,0.004,0.0039666668,0.0038666667,0.0037666666,0.0036666666,0.0035666667,0.0035,0.0033333334,0.0032,0.0031666667,0.0031666667,0.0031333333,0.0031,0.0031,0.0030333332,0.003,0.0029666666,0.0029,0.0028333333,0.0028,0.0028,0.0027333333,0.0027333333,0.0027,0.0027,0.0026666666,0.0026333334,0.0025,0.0025,0.0024333333,0.0024333333,0.0024,0.0023,0.0023,0.0022666666,0.0022333334,0.0022333334,0.0022,0.0021666666,0.0021333334,0.0021,0.0021,0.0020666667,0.0020333333}",6
bookings,flights,flight_id,integer,21758,0.00,PK,-1,NULL,NULL,NULL,NULL,NULL,4
bookings,flights,route_no,text,21758,0.00,UNIQUE,-1,NULL,NULL,NULL,"{PG0065,PG0066,PG0071,PG0072,PG0085,PG0086,PG0115,PG0116,PG0181,PG0182,PG0225,PG0226,PG0233,PG0234,PG0261,PG0262,PG0075,PG0105,PG0106,PG0123,PG0124,PG0187,PG0188,PG0076,PG0035,PG0046,PG0045,PG0036,PG0055,PG0056,PG0002,PG0001,PG0192,PG0221,PG0222,PG0137,PG0138,PG0173,PG0191,PG0193,PG0194,PG0203,PG0204,PG0257,PG0258,PG0267,PG0268,PG0019,PG0020,PG0174,PG0229,PG0230,PG0249,PG0250,PG0363,PG0364,PG0097,PG0247,PG0248,PG0057,PG0058,PG0098,PG0134,PG0201,PG0202,PG0435,PG0436,PG0133,PG0063,PG0064,PG0278,PG0177,PG0012,PG0277,PG0373,PG0011,PG0178,PG0374,PG0038,PG0185,PG0189,PG0190,PG0284,PG0037,PG0104,PG0186,PG0283,PG0103,PG0119,PG0120,PG0018,PG0017,PG0152,PG0151,PG0009,PG0067,PG0211,PG0010,PG0042,PG0212}","{0.005561173,0.005561173,0.005561173,0.005561173,0.005561173,0.005561173,0.005561173,0.005561173,0.005561173,0.005561173,0.005561173,0.005561173,0.005561173,0.005561173,0.005561173,0.005561173,0.0053773327,0.0053773327,0.0053773327,0.0053773327,0.0053773327,0.0053773327,0.0053773327,0.0053313724,0.0050096516,0.0050096516,0.0049636913,0.0049177315,0.004779851,0.0047338908,0.00441217,0.00436621,0.0042283298,0.0042283298,0.0042283298,0.00418237,0.00418237,0.00418237,0.00418237,0.00418237,0.00418237,0.00418237,0.00418237,0.00418237,0.00418237,0.00418237,0.00418237,0.0041364096,0.0041364096,0.0041364096,0.0041364096,0.0041364096,0.0041364096,0.0041364096,0.0041364096,0.0041364096,0.0040444895,0.0040444895,0.0040444895,0.003998529,0.003998529,0.003998529,0.003998529,0.003998529,0.0039525693,0.0039525693,0.0039525693,0.003860649,0.003814689,0.003814689,0.0036768084,0.0036308484,0.0035848883,0.0035848883,0.0035848883,0.0035389282,0.0035389282,0.0035389282,0.003447008,0.003447008,0.0034010478,0.0034010478,0.0034010478,0.0033550877,0.0033550877,0.0033550877,0.0033550877,0.0033091276,0.0032172075,0.0032172075,0.0031712474,0.0031252874,0.0031252874,0.003079327,0.003033367,0.003033367,0.003033367,0.002987407,0.002987407,0.002987407}",7
bookings,flights,status,text,21758,0.00,,-1,NULL,NULL,NULL,"{Arrived,Scheduled,""On Time"",Cancelled,Departed,Delayed,Boarding}","{0.5039985,0.48166192,0.007215737,0.005561173,0.0009192021,0.00045960105,0.00018384043}",8
bookings,flights,scheduled_departure,timestamp with time zone,21758,0.00,UNIQUE,-1,NULL,NULL,NULL,"{""2025-11-08 15:55:00+07"",""2025-11-15 15:55:00+07"",""2025-11-22 15:55:00+07"",""2025-11-29 15:55:00+07"",""2025-10-30 20:35:00+07"",""2025-11-01 13:20:00+07"",""2025-11-03 15:55:00+07"",""2025-11-04 15:55:00+07"",""2025-11-05 15:55:00+07"",""2025-11-07 15:55:00+07"",""2025-11-10 15:55:00+07"",""2025-11-11 15:55:00+07"",""2025-11-12 15:55:00+07"",""2025-11-14 15:55:00+07"",""2025-11-17 15:55:00+07"",""2025-11-18 15:55:00+07"",""2025-11-19 15:55:00+07"",""2025-11-21 15:55:00+07"",""2025-11-24 15:55:00+07"",""2025-11-25 15:55:00+07"",""2025-11-26 15:55:00+07"",""2025-11-28 15:55:00+07"",""2025-10-01 09:25:00+07"",""2025-10-02 09:15:00+07"",""2025-10-02 20:35:00+07"",""2025-10-03 06:35:00+07"",""2025-10-04 09:15:00+07"",""2025-10-04 09:25:00+07"",""2025-10-06 06:35:00+07"",""2025-10-06 09:15:00+07"",""2025-10-07 06:35:00+07"",""2025-10-08 09:25:00+07"",""2025-10-09 09:15:00+07"",""2025-10-09 20:35:00+07"",""2025-10-10 06:35:00+07"",""2025-10-11 09:15:00+07"",""2025-10-11 09:25:00+07"",""2025-10-13 06:35:00+07"",""2025-10-13 09:15:00+07"",""2025-10-14 06:35:00+07"",""2025-10-15 09:25:00+07"",""2025-10-16 09:15:00+07"",""2025-10-16 20:35:00+07"",""2025-10-17 06:35:00+07"",""2025-10-18 09:15:00+07"",""2025-10-18 09:25:00+07"",""2025-10-20 06:35:00+07"",""2025-10-20 09:15:00+07"",""2025-10-21 06:35:00+07"",""2025-10-22 09:25:00+07"",""2025-10-23 09:15:00+07"",""2025-10-23 20:35:00+07"",""2025-10-24 06:35:00+07"",""2025-10-25 09:15:00+07"",""2025-10-25 09:25:00+07"",""2025-10-28 06:35:00+07"",""2025-10-28 20:35:00+07"",""2025-10-30 14:05:00+07"",""2025-10-31 06:35:00+07"",""2025-11-01 15:55:00+07"",""2025-11-02 06:35:00+07"",""2025-11-02 15:55:00+07"",""2025-11-02 19:50:00+07"",""2025-11-02 22:00:00+07"",""2025-11-03 06:10:00+07"",""2025-11-03 17:45:00+07"",""2025-11-03 22:00:00+07"",""2025-11-04 09:15:00+07"",""2025-11-04 22:00:00+07"",""2025-11-05 09:15:00+07"",""2025-11-05 17:45:00+07"",""2025-11-06 15:55:00+07"",""2025-11-06 17:45:00+07"",""2025-11-06 22:00:00+07"",""2025-11-07 09:15:00+07"",""2025-11-07 22:00:00+07"",""2025-11-08 13:20:00+07"",""2025-11-08 17:45:00+07"",""2025-11-08 22:00:00+07"",""2025-11-09 09:15:00+07"",""2025-11-09 15:55:00+07"",""2025-11-09 19:50:00+07"",""2025-11-09 22:00:00+07"",""2025-11-10 06:10:00+07"",""2025-11-10 17:45:00+07"",""2025-11-10 22:00:00+07"",""2025-11-11 09:15:00+07"",""2025-11-11 22:00:00+07"",""2025-11-12 09:15:00+07"",""2025-11-12 17:45:00+07"",""2025-11-13 15:55:00+07"",""2025-11-13 17:45:00+07"",""2025-11-13 22:00:00+07"",""2025-11-14 09:15:00+07"",""2025-11-14 22:00:00+07"",""2025-11-15 13:20:00+07"",""2025-11-15 17:45:00+07"",""2025-11-15 22:00:00+07"",""2025-11-16 09:15:00+07"",""2025-11-16 15:55:00+07""}","{0.00027576063,0.00027576063,0.00027576063,0.00027576063,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043}",8
bookings,flights,scheduled_arrival,timestamp with time zone,21758,0.00,,-1,NULL,NULL,NULL,"{""2026-01-02 20:00:00+07"",""2026-01-03 20:00:00+07"",""2026-01-05 20:00:00+07"",""2026-01-07 20:00:00+07"",""2026-01-09 20:00:00+07"",""2026-01-10 20:00:00+07"",""2026-01-12 20:00:00+07"",""2026-01-14 20:00:00+07"",""2026-01-16 20:00:00+07"",""2026-01-17 20:00:00+07"",""2026-01-19 20:00:00+07"",""2026-01-21 20:00:00+07"",""2026-01-23 20:00:00+07"",""2026-01-24 20:00:00+07"",""2026-01-26 20:00:00+07"",""2026-01-28 20:00:00+07"",""2025-10-01 22:20:00+07"",""2025-10-03 22:20:00+07"",""2025-10-05 09:15:00+07"",""2025-10-05 22:20:00+07"",""2025-10-06 22:20:00+07"",""2025-10-08 22:20:00+07"",""2025-10-10 22:20:00+07"",""2025-10-12 09:15:00+07"",""2025-10-12 22:20:00+07"",""2025-10-13 22:20:00+07"",""2025-10-15 22:20:00+07"",""2025-10-17 22:20:00+07"",""2025-10-19 09:15:00+07"",""2025-10-19 22:20:00+07"",""2025-10-20 22:20:00+07"",""2025-10-22 22:20:00+07"",""2025-10-24 22:20:00+07"",""2025-10-26 09:15:00+07"",""2025-11-04 15:25:00+07"",""2025-11-05 15:25:00+07"",""2025-11-07 02:55:00+07"",""2025-11-08 15:25:00+07"",""2025-11-09 15:25:00+07"",""2025-11-11 15:25:00+07"",""2025-11-12 15:25:00+07"",""2025-11-14 02:55:00+07"",""2025-11-15 15:25:00+07"",""2025-11-16 15:25:00+07"",""2025-11-18 15:25:00+07"",""2025-11-19 15:25:00+07"",""2025-11-21 02:55:00+07"",""2025-11-22 15:25:00+07"",""2025-11-23 15:25:00+07"",""2025-11-25 15:25:00+07"",""2025-11-26 15:25:00+07"",""2025-11-28 02:55:00+07"",""2025-11-29 15:25:00+07"",""2025-11-30 15:25:00+07"",""2025-12-03 15:05:00+07"",""2025-12-04 04:55:00+07"",""2025-12-05 22:10:00+07"",""2025-12-07 15:05:00+07"",""2025-12-10 15:05:00+07"",""2025-12-11 04:55:00+07"",""2025-12-12 22:10:00+07"",""2025-12-14 15:05:00+07"",""2025-12-17 15:05:00+07"",""2025-12-18 04:55:00+07"",""2025-12-19 22:10:00+07"",""2025-12-21 15:05:00+07"",""2025-12-24 15:05:00+07"",""2025-12-25 04:55:00+07"",""2025-12-26 22:10:00+07"",""2025-12-28 15:05:00+07"",""2025-12-31 15:05:00+07"",""2026-01-01 04:55:00+07"",""2026-01-01 20:00:00+07"",""2026-01-05 21:20:00+07"",""2026-01-06 20:00:00+07"",""2026-01-08 20:00:00+07"",""2026-01-12 21:20:00+07"",""2026-01-13 20:00:00+07"",""2026-01-15 20:00:00+07"",""2026-01-19 21:20:00+07"",""2026-01-20 20:00:00+07"",""2026-01-22 20:00:00+07"",""2026-01-26 21:20:00+07"",""2026-01-27 20:00:00+07"",""2026-01-29 20:00:00+07"",""2025-10-01 14:30:00+07"",""2025-10-01 20:00:00+07"",""2025-10-01 21:25:00+07"",""2025-10-02 09:15:00+07"",""2025-10-02 16:35:00+07"",""2025-10-02 20:00:00+07"",""2025-10-02 22:20:00+07"",""2025-10-02 22:50:00+07"",""2025-10-03 06:20:00+07"",""2025-10-03 08:40:00+07"",""2025-10-03 09:15:00+07"",""2025-10-03 20:00:00+07"",""2025-10-03 21:25:00+07"",""2025-10-04 08:40:00+07"",""2025-10-04 09:15:00+07""}","{0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00022980053,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00018384043,0.00013788031,0.00013788031,0.00013788031,0.00013788031,0.00013788031,0.00013788031,0.00013788031,0.00013788031,0.00013788031,0.00013788031,0.00013788031,0.00013788031,0.00013788031,0.00013788031,0.00013788031}",8
bookings,flights,actual_departure,timestamp with time zone,21758,49.51,,-1,NULL,NULL,NULL,NULL,NULL,8
bookings,flights,actual_arrival,timestamp with time zone,21758,49.60,,-1,NULL,NULL,NULL,NULL,NULL,8
bookings,routes,route_no,text,1162,0.00,,-1,NULL,NULL,NULL,"{PG0001,PG0002,PG0005,PG0006,PG0007,PG0008,PG0009,PG0010,PG0011,PG0012,PG0017,PG0018,PG0035,PG0036,PG0045,PG0046,PG0055,PG0056,PG0057,PG0058,PG0063,PG0064,PG0065,PG0066,PG0067,PG0068,PG0071,PG0072,PG0075,PG0076,PG0085,PG0086,PG0105,PG0106,PG0115,PG0116,PG0123,PG0124,PG0133,PG0134,PG0173,PG0174,PG0177,PG0178,PG0181,PG0182,PG0187,PG0188,PG0225,PG0226,PG0233,PG0234,PG0261,PG0262,PG0019,PG0020,PG0037,PG0038,PG0041,PG0042,PG0043,PG0044,PG0059,PG0060,PG0097,PG0098,PG0099,PG0100,PG0101,PG0102,PG0103,PG0104,PG0111,PG0112,PG0113,PG0114,PG0119,PG0120,PG0121,PG0122,PG0137,PG0138,PG0151,PG0152,PG0171,PG0172,PG0185,PG0186,PG0189,PG0190,PG0191,PG0192,PG0193,PG0194,PG0201,PG0202,PG0203,PG0204,PG0211,PG0212}","{0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0034423408,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556,0.0025817556}",7
bookings,routes,validity,tstzrange,1162,0.00,,-1,NULL,NULL,NULL,NULL,NULL,22
